scenario,taskCount,run,totalCpuTime,totalWaitTime,avgStartTime,avgExecutionTime,avgFinishTime,throughput,makespan,imbalanceDegree,resourceUtilization,totalEnergy
MOWS,7000,2,40167871.8920000640,0.0000000000,0.3000000000,5738.2674131429,5738.5674131429,0.1316575707,53168.2300000000,0.8003529066,13.9904879188,191405628.0000000000
MOWS,7000,3,40395406.4350000400,0.0000000000,0.3000000000,5770.7723478571,5771.0723478571,0.1118111947,62605.5380000000,1.2111952369,11.9488324201,225379936.8000000000
MOWS,7000,4,40406550.8590000640,0.0000000000,0.3000000000,5772.3644084286,5772.6644084286,0.1216321238,57550.5860000000,1.0442141627,13.0019433747,207182109.6000000200
MOWS,7000,5,40810325.8350000400,0.0000000000,0.3000000000,5830.0465478571,5830.3465478571,0.1283116833,54554.6580000000,1.2381154565,13.8530201165,196396768.7999999800
MOWS,7000,6,40089639.8370000350,0.0000000000,0.3000000000,5727.0914052857,5727.3914052857,0.1198154035,58423.2060000000,1.0834668194,12.7072919915,210323541.6000000000
MOWS,7000,7,40333738.0360001100,0.0000000000,0.3000000000,5761.9625765714,5762.2625765714,0.1233173284,56764.1230000000,1.0068070997,13.1583302140,204350842.7999999800
MOWS,7000,8,39974054.4869999960,0.0000000000,0.3000000000,5710.5792124286,5710.8792124286,0.1243195171,56306.5250000000,0.9446212231,13.1469713018,202703490.0000000000
MOWS,7000,9,40196030.9130000250,0.0000000000,0.3000000000,5742.2901304286,5742.5901304286,0.1250729555,55967.3350000000,0.8658103049,13.3000962585,201482406.0000000000
MOWS,7000,10,40502577.4480000140,0.0000000000,0.3000000000,5786.0824925714,5786.3824925714,0.1198631348,58399.9410000000,0.9786465383,12.8432960321,210239787.6000000200
Baseline_RoundRobin,7000,1,38844606.3509999960,0.0000000000,0.3000000000,5549.2294787143,5549.5294787143,0.1926111925,36342.6440000000,0.0878656868,19.7934019896,130833518.3999999800
Baseline_RoundRobin,7000,2,38844602.6770000100,0.0000000000,0.3000000000,5549.2289538571,5549.5289538571,0.1926111501,36342.6520000000,0.0878701144,19.7933957604,130833547.1999999700
Baseline_RoundRobin,7000,3,38844605.1910000900,0.0000000000,0.3000000000,5549.2293130000,5549.5293130000,0.1926111607,36342.6500000000,0.0878687658,19.7933981307,130833539.9999999900
Baseline_RoundRobin,7000,4,38844601.7169999600,0.0000000000,0.3000000000,5549.2288167143,5549.5288167143,0.1926111501,36342.6520000000,0.0878696036,19.7933952712,130833547.1999999700
Baseline_RoundRobin,7000,5,38844602.6830000600,0.0000000000,0.3000000000,5549.2289547143,5549.5289547143,0.1926111713,36342.6480000000,0.0878680514,19.7933979420,130833532.7999999800
Baseline_RoundRobin,7000,6,38844600.7250000800,0.0000000000,0.3000000000,5549.2286750000,5549.5286750000,0.1926111501,36342.6520000000,0.0878707680,19.7933947658,130833547.1999999700
Baseline_RoundRobin,7000,7,38844599.0460000300,0.0000000000,0.3000000000,5549.2284351429,5549.5284351429,0.1926111607,36342.6500000000,0.0878712792,19.7933949995,130833539.9999999900
Baseline_RoundRobin,7000,8,38844603.2430001200,0.0000000000,0.3000000000,5549.2290347143,5549.5290347143,0.1926111660,36342.6490000000,0.0878707179,19.7933976827,130833536.3999999500
Baseline_RoundRobin,7000,9,38844604.9360000700,0.0000000000,0.3000000000,5549.2292765714,5549.5292765714,0.1926111395,36342.6540000000,0.0878730940,19.7933958222,130833554.3999999000
Baseline_RoundRobin,7000,10,38844606.3509999960,0.0000000000,0.3000000000,5549.2294787143,5549.5294787143,0.1926111925,36342.6440000000,0.0878656868,19.7934019896,130833518.3999999800
MOWS,8000,1,53786196.5350000900,0.0000000000,0.3000000000,6723.2745668750,6723.5745668750,0.1174519038,68112.9870000000,0.9825594185,14.6233592218,245206753.2000000000
MOWS,8000,2,53970748.0759999750,0.0000000000,0.3000000000,6746.3435095000,6746.6435095000,0.1108462194,72172.0600000000,1.0123235920,13.8482717232,259819415.9999999400
MOWS,8000,3,54556248.6739999600,0.0000000000,0.3000000000,6819.5310842500,6819.8310842500,0.1150619501,69527.7630000000,1.1346423382,14.5308989931,250299946.7999999800
MOWS,8000,4,54047425.3059999500,0.0000000000,0.3000000000,6755.9281632500,6756.2281632500,0.1336461768,59859.5500000000,0.9416808472,16.7204438792,215494379.9999999700
MOWS,8000,5,54157676.5690000060,0.0000000000,0.3000000000,6769.7095711250,6770.0095711250,0.1186555719,67422.0340000000,1.5738074223,14.8752548234,242719322.4000000000
MOWS,8000,6,54049948.9060000550,0.0000000000,0.3000000000,6756.2436132500,6756.5436132500,0.1315350973,60820.2690000000,1.1937317623,16.4570955735,218952968.4000000000
MOWS,8000,7,54046953.4859999900,0.0000000000,0.3000000000,6755.8691857500,6756.1691857500,0.1180356861,67776.1130000000,1.2136531197,14.7672899005,243994006.7999999800
MOWS,8000,8,53987674.5549998950,0.0000000000,0.3000000000,6748.4593193750,6748.7593193750,0.1139569404,70201.9550000000,0.8523487587,14.2413662272,252727037.9999999400
MOWS,8000,9,54314010.6059998700,0.0000000000,0.3000000000,6789.2513257500,6789.5513257500,0.1093773943,73141.2560000000,1.0902481647,13.7516781394,263308521.5999999600
MOWS,8000,10,54143858.6680000100,0.0000000000,0.3000000000,6767.9823335000,6768.2823335000,0.1266816554,63150.4220000000,0.9516546510,15.8773927023,227341519.1999999600
